Name,Source,Size,Type,Alignment,Habitat,Main Habitat,Other Habitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR Mod,INT Mod,DEX Mod,WIS Mod,CON Mod,CHA Mod,STR Save,INT Save,DEX Save,WIS Save,CON Save,CHA Save,Proficient,Expertise,Vulnerabilities,Resistances,Immunities Conditions,Immunities Damage,Blindsight,Darkvision,Truesight,Tremorsense,Passive Perception,Languages,CR,XP.,PB,Traits,# of Legendary Resistance,# of Atk,Atk 1 Type,Atk 1 Mod,Atk 1 Range,Atk 1 Range Short,Atk 1 Range Long,Atk 1 Dam.,Atk 1 Damage Type,Atk 2 Type,Atk 2 Mod,Atk 2 Range,Atk 2 Range short,Atk 2 Range Long,Atk 2 Dam.,Atk 2 Damage Type,Atk 3 Type,Atk 3 Mod,Atk 3 Range,Atk 3 Range short,Atk 3 Range Long,Atk 3 Dam.,Atk 3 Damage Type,Atk 4 Type,Atk 4 Mod,Atk 4 Range,Atk 4 Range short,Atk 4 Range Long,Atk 4 Dam.,Atk 4 Damage Type,Save DC,Saving Throw,Action Notes,Ability,Spell Save DC,Spell Saving Throws,Spell Attack,At Will,3/Day,2/Day,1/Day,Bonus Action,Reaction,Amount,Legendary Action Save DC,Legendary Action Saving Throw,Legendary Actions.,Lair,xp,Legendary Resistance,Legendary Actions,Lair Save DC,Lair Saving Throws,Other
Deva,2024 Monster Manual,Medium,Celestial (Angel),Lawful Good,Planar (Upper Planes),Planar,Upper Planes,Relics,17,229,4,30,,,90,90,,4,3,4,5,4,5,4,3,4,9,4,9,"Insight, Perception",,,Radiant,"Charmed, Exhaustion, Frightened",,,120,,,19,"All, Telepathy",10,"5,900",4,"Exalted Restoration, Magic Resistance",,2,Melee,8,5,,,25,"Bludgeoning, Radiant",,,,,,,,,,,,,,,,,,,,,,,,,Charisma,17,,9,"Detect Evil and Good, Shapechange",,"Cure Wounds, Lesser Restoration, Remove Curse","Commune, Raise Dead","Cast Cure Wounds, Lesser Restoration, or Remove Curse",,,,,,,,,,,,
Dire Wolf,2024 Monster Manual,Large,Beast,Unaligned,"Forest, Hill","Forest, Hill",,None,14,22,2,50,,,,,,3,-4,2,1,2,-2,3,-4,2,1,2,-2,Stealth,,,,,,,60,,,15,None,1,200,2,Pack Tactics,,1,Melee,5,5,,,8,Piercing,,,,,,,,,,,,,,,,,,,,,,,,Gives prone condition,,,,,,,,,,,,,,,,,,,,,
Dire Worg,2024 Monster Manual,Huge,Fey,Neutral Evil,"Forest, Grassland, Hill, Planar (Feywild)","Forest, Grassland, Hill, Planar",Feywild,None,16,147,2,50,,,,,,6,-2,2,3,4,-1,6,-2,6,7,4,-1,,Perception,,,,,,120,,,21,"Goblin, Sylvan, Worg",10,"5,900",4,Magic Resistance,,3,Melee,10,5,,,22,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,16,Wisdom,"Akt 1 poisoned on hit, Dreadful Howl recharges on 5-6 30ft on fail 36 psychic damage and frightened",,,,,,,,,Teleports with a creature 30ft,,,,,,,,,,,,
Displacer Beast,2024 Monster Manual,Large,Monstrosity,Lawful Evil,Forest,Forest,,None,13,76,4,40,,,,,,4,-2,2,1,3,-1,4,-2,2,1,3,-1,,,,,,,,60,,,11,Understands Sylvan,3,700,2,"Avoidance, Displacement",,2,Melee,6,5,,,9,Slashing,Melee,6,10,,,11,Piercing,,,,,,,,,,,,,,,,,Atk 1 on hit prone,,,,,,,,,,,,,,,,,,,,,
Djinni,2024 Monster Manual,Large,Elemental (Genie),Neutral,"Coastal, Planar (Elemental Plane of Air)","Coastal, Planar",Elemental Plane of Air,Arcana,18,218,2,30,,,90,90,,5,2,2,3,6,5,5,2,6,7,6,5,,,,,,"Lightning, Thunder",,120,,,13,Primordial (Auran),11,"7,200",4,"Elemental Restoration, Magic Resistance, Wishes",,3,Melee,9,5,,,19,"Slashing, Lightning",Ranged,9,120,120,,13,,,,,,,,,,,,,,,,17,Strength,"Atk 2 on hit if target is large or smaller prone, Create Whirlwind 20ft radius 60ft high cylinder when target enters on fail restrained and 21 thunder damage",Charisma,17,,9,"Detect Evil and Good, Detect Magic",,"Create Food and Water, Tongues, Wind Walk","Creation, Gaseous Form, Invisibility, Major Image, Plane Shift",,,,,,,,,,,,,
Doppelganger,2024 Monster Manual,Medium,Monstrosity,Neutral,"Underdark, Urban","Underdark, Urban",,Individual,14,52,4,30,,,,,,0,0,4,1,2,2,0,0,4,1,2,2,Insight,Deception,,,Charmed,,,60,,,11,Common plus three other languages,3,700,2,,,3,Melee,6,5,,,11,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,12,Wisdom,"Read Thoughts cast detect thoughts, Unsettling Visage within 15ft on fail frightened",,,,,,,,,Shape-shift,,,,,,,,,,,,
Dracolich,2024 Monster Manual,Huge or Gargantuan,Undead,Lawful Evil,Any,Any,,Any,20,225,12,40,30,,80,,,7,4,0,2,6,5,7,4,6,8,6,5,Stealth,Perception,,,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned","Necrotic, Poison",60,120,,,24,"Common, Draconic",17,"18,000",6,"Life Suppression, Magic Resistance, Soul Gem",,3,Melee,13,10,,,22,"Slashing, Necrotic",Ranged,11,60,60,,14,Poison,,,,,,,,,,,,,,,20,Constitution,"Akt 2 is a casting of Ray of Sickness (level 2), Necrotic Breath recharges 5-6 60ft coone on fail 52 necrotic damage",Charisma,19,Constitution,11,"Detect Magic, Ray of Sickness (level 2)",,,"Create Undead (Level 8), Finger of Death",,,3,19,Wisdom,"Pounce,Cast  Sickening Ray (level 2), Terrifying Presence: within 30ft on fail 11 psychic damage and frightened",Yes,"20,000",4,4,15,Constitution,On fail Exhaustion
Draft Horse,2024 Monster Manual,Large,Beast,Unaligned,Urban,Urban,,None,10,15,0,40,,,,,,4,-4,0,0,2,-2,4,-4,0,0,2,-2,,,,,,,,,,,10,None,1/4,50,2,,,1,Melee,6,5,,,6,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Turtle,2024 Monster Manual,Gargantuan,Dragon,Neutral,"Coastal, Underwater","Coastal, Underwater",,Any,20,356,6,20,,,,,50,7,0,0,1,5,1,7,0,0,7,11,1,,,,Fire,,,,120,,,11,"Draconic, Primordial (Aquan)",17,"18,000",6,Amphibious,,3,Melee,13,15,,,30,"Piercing, Fire",Melee,13,15,,,18,Bludgeoning,,,,,,,,,,,,,,,19,Constitution,"Akt 1 the water does not grant resistance to the fire, Akt 2 gives prone condition, Steam Breath recharges 5-6 60ft coone 56 fire damage",,,,,,,,,,,,,,,,,,,,,
Dreaming Dark Infiltrator,Eberrron: Forge of the Artificer,Medium or Small,Humanoid,Lawful Evil,None (NPC),None,NPC,None,15,104,3,30,,,,,,2,4,3,3,2,3,2,7,3,6,2,6,"Deception, Insight, Stealth",,,Psychic,,,,,30,,13,"Common, Quori",7,"2,900",3,,,3,Melee,7,5,,,14,Psychic,Ranged,7,30,30,,14,Psychic,,,,,,,,,,,,,,,15,Wisdom,,Intelligence,15,"Intelligence, Wisdom",5,,Detect Thoughts,,Synaptic Static,Mind Curse on fail save 14 psychic damage and cursed,,,,,,,,,,,,
Dreaming Dark Mindkiller,Eberrron: Forge of the Artificer,Medium or Small,Humanoid,Lawful Evil,None (NPC),None,NPC,None,19,180,4,30,,,,,,2,5,4,4,3,3,2,9,4,8,3,7,"Deception, Insight, Stealth",,,Psychic,"Charmed, Frightened",,,,30,,18,"Common, Quori",11,"7,200",4,,,2,Melee,9,5,,,27,Psychic,Ranged,9,30,30,,27,Psychic,,,,,,,,,,,,,,,17,Wisdom,"Atk 1 and 2 on hit target is frightened and if already frightened does 10 extra psychic damage, Primal Fear once per day in 30ft sphere within 120ft on fail save 35 psychic damage and frightened and while frightened can only move take action or bonus action",Intelligence,17,Wisdom,9,,,,Dominate Person,Cast Dominate person,,,,,,,,,,,,
Dretch,"2024 Monster Manual,  Stranger Things: Welcome to the Hellfire Club",Small,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,None,11,18,0,20,,,,,,1,-3,0,-1,1,-4,1,-3,0,-1,1,-4,,,,"Cold, Fire, Lightning",Poisoned,Poison,,60,,,9,"Abyssal, Telepathy",1/4,50,2,,,1,Melee,3,5,,,4,Slashing,,,,,,,,,,,,,,,,,,,,,,11,Constitution,Fetid Cloud 1/day within 10 ft on fail the target is poisoned and only take an action or a bonus action also no reactions,,,,,,,,,,,,,,,,,,,,,
Drider,2024 Monster Manual,Large,Monstrosity,Chaotic Evil,"Forest, Underdark","Forest, Underdark",,Armaments,19,123,4,30,,30,,,,3,1,4,3,4,1,3,1,4,3,4,1,Perception,Stealth,,,,,,120,,,16,"Elvish, Undercommon",6,"2,300",3,"Spider Climb, Sunlight Sensitivity, Web Walker",,3,Melee,7,10,,,13,Piercing,Ranged,6,120,120,,13,Poison,,,,,,,,,,,,,,,14,Dexterity,,,,,,,,,,"Magic of Spider Queen recharges 5-6 cast Darkness, Faerie Fire, or Web",,,,,,,,,,,,
Drow Elite Warrior of Lolth, Forgotten Realms: Adventures in Faerûn,Medium,Humaniod (Elf),Chaotic Evil,"Underdark, Urban","Underdark, Urban",,Any,18,71,4,30,,,,,,1,0,4,1,2,1,1,0,7,4,5,1,Perception,Stealth,,,,,,120,,,14,"Common, Elvish, Undercommon",5,"1,800",3,"Fey Ancestry, Sunlight Sensitivity",,2,Melee,7,5,,,21,"Piercing, Poison",Ranged,7,30/120,30,120,7,Piercing,,,,,,,,,,,,,,,15,Constitution,"Hit the ranged attack, on fail poisoned and unconscious",Charisma,12,Dexterity,3,,"Darkness, Faerie Fire, Levitate",,,"Underdark Magic cast darkness, faerie fire or levitate (self only)",,,,,,,,,,,,
Drow Mage of Lolth, Forgotten Realms: Adventures in Faerûn,Medium,Humaniod (Elf),Chaotic Evil,"Underdark, Urban","Underdark, Urban",,Any,15,81,12,30,,,,15,,-1,3,2,1,0,1,-1,3,5,4,0,1,"Arcana, Perception, Stealth",,,,,,,120,,,14,"Abyssal, Common, Elvish, Undercommon",7,"2,900",3,"Fey Ancestry, Sunlight Sensitivity",,3,Melee,6,5,,,21,Poison,Ranged,6,120,120,,21,Poison,,,,,,,,,,,,,,,,,,Intelligence,14,,6,"Dancing Lights, Mage Armor, Mage Hand, Minor Illusion","Faerie Fire, Misty Step",,Summon Fiend,Underdark Magic cast faerie fire or Misty Step,,,,,,,,,,,,
Drow of Loth, Forgotten Realms: Adventures in Faerûn,Medium,Humaniod (Elf),Chaotic Evil,"Underdark, Urban","Underdark, Urban",,Any,15,13,2,30,,,,,,0,0,2,0,0,1,0,0,2,0,0,1,"Perception, Stealth",,,,,,,120,,,12,"Common, Elvish, Undercommon",1/4,50,2,"Fey Ancestry, Sunlight Sensitivity",,1,Melee,4,5,,,6,Piercing,Ranged,4,30/120,30,120,4,Piercing,,,,,,,,,,,,,,,12,Constitution,"Hit the ranged attack, on fail poisoned or failed by 5 or more Unconscious",Charisma,11,Dexterity,2,Dancing LIghts,,,Faerie Fire,,,,,,,,,,,,,
Drow Priestes of Lolth, Forgotten Realms: Adventures in Faerûn,Medium,Humaniod (Elf),Chaotic Evil,"Underdark, Urban","Underdark, Urban",,Any,16,99,2,30,,,,15,,0,1,2,4,1,3,0,1,2,7,4,6,"Insight, Perception, Religion, Stealth",,,,,,,120,,,17,"Abyssal, Common, Elvish, Undercommon",8,"3,900",3,"Fey Ancestry, Sunlight Sensitivity",,3,Melee,5,10,,,23,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,15,Constitution,Spider Vortex: within 20ft on fail 33 piercing damage and restrained,Wisdom,15,,7,"Dancing Lights, Guidance, Thaumaturgy","Cure Wounds, Darkness, Dispel Magic, Lesser",,,,,,,,,,,,,,,
Druid,2024 Monster Manual,Medium or Small,Humanoid,Neutral,Any,Any,,"Individual, Relics",13,44,1,30,,,,,,0,1,1,3,1,0,0,1,1,3,1,0,"Medicine, Nature, Perception",,,,,,,,,,15,"Common, Druidic, Sylvan",2,450,2,,,2,Melee,5,5,,,9,"Bludgeoning, Poison",Ranged,5,90,90,,10,Radiant,,,,,,,,,,,,,,,,,,Wisdom,13,"Constitution, Strength",5,"Druidcraft, Speak with Animals",,"Entangle, Thunderwave","Animal Messenger, Longstrider, Moonbeam",,,,,,,,,,,,,
Dryad,2024 Monster Manual,Medium,Fey,Neutral,Forest,Forest,,Any,16,22,1,30,,,,,,0,2,1,2,0,4,0,2,1,2,0,4,Perception,Stealth,,,,,,60,,,14,"Elvish, Sylvan",1,200,2,"Magic Resistance, Speak with Beasts and Plants",,2,Melee,6,10,,,8,Slashing,Ranged,6,60,60,,7,Piercing,,,,,,,,,,,,,,,,,Can cast Charm Monster as part of its Akt action,Charisma,14,Strength,6,"Animal Friendship, Charm Monster (lasts 24 hours), Druidcraft",,,"Entangle, Pass without Trace",Teleport using trees within 60ft,,,,,,,,,,,,
Dust Mephit,2024 Monster Manual,Small,Elemental,Neutral Evil,"Desert, Planar (Elemental Planes)","Desert, Planar",Elemental Planes,None,12,17,2,30,,,30,,,-3,-1,2,0,0,0,-3,-1,2,0,0,0,"Perception, Stealth",,Fire,,"Exhaustion, Poisoned",Poison,,60,,,12,"Primordial (Auran, Terran)",1/2,100,2,Death Burst,,1,Melee,4,5,,,4,Slashing,,,,,,,,,,,,,,,,,,,,,,10,"Dexterity, Wisdom","Blinding Breath recharges on 6 15ft cone on fail blinded, Sleep 1/day cast sleep",,,,,,,,,,,,,,,,,,,,,
Eagle,2024 Monster Manual,Small,Beast,Unaligned,"Coastal, Grassland, Hill, Mountain","Coastal, Grassland, Hill, Mountain",,None,12,4,2,10,,,60,,,-2,-4,2,2,1,-2,-2,-4,2,2,1,-2,,Perception,,,,,,,,,16,None,0,10,2,,,1,Melee,4,5,,,4,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Elemental,2024 Monster Manual,Large,Elemental,Neutral,"Mountain, Planar (Elemental Plane of Earth), Underdark","Mountain, Planar, Underdark",Elemental Plane of Earth,None,17,147,-1,30,30,,,,,5,-3,-1,0,5,-3,5,-3,-1,0,5,-3,,,Thunder,,"Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious",Poison,,60,,60,10,Primordial (Terran),5,"1,800",3,"Earth Glide, Siege Monster",,2,Melee,8,10,,,14,Bludgeoning,Ranged,8,60,60,,8,Bludgeoning,,,,,,,,,,,,,,,,,Atk 2 on hit prone,,,,,,,,,,,,,,,,,,,,,
Efreeti,2024 Monster Manual,Large,Elemental (Genie),Neutral,"Desert, Planar (Elemental Plane of FIre)","Desert, Planar",Elemental Plane of FIre,Armaments,17,212,1,40,,,60,60,,6,3,1,2,7,4,6,3,1,6,7,8,,,,,,Fire,,120,,,12,Primordial (Ignan),11,"7,200",4,"Elemental Restoration, Magic Resistance, Wishes",,3,Melee,10,5,,,26,"Slashing, Fire",Ranged,8,120,120,,24,Fire,,,,,,,,,,,,,,,,,,Charisma,16,Dexterity,8,"Detect Magic, Elementalism",,,"Gaseous Form, Invincibility, Major Image, Plane Shift, Tongues, Wall of Fire (level 7)",,,,,,,,,,,,,
Eldritch Eddy," Netheril’s Fall: Tales of Terror, Treasure, and Time Travel",Large,Construct,Chaotic Neutral,Urban,Urban,,None,11,144,1,10,,,,40,,0,1,1,-1,3,3,0,4,4,-1,3,6,,,,Force,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned","Fire, Lightning",60,,,,9,"Understands Common, plus one other language",6,"2,300",3,Magic Resistance,,2,Melee,6,10,,,13,"Fire, Lightning",Ranged,6,120,120,,14,Force,,,,,,,,,,,,,,,14,Strength,,,,,,,,,,,Eldritch Overload when takes damage creatures within 5ft on fail take 7 force damage and prone,,,,,,,,,,,
Elemental Cataclysm,2024 Monster Manual,Gargantuan,Elemental (Titan),Chaotic Neutral,Planar (Elemental Chaos),Planar,Elemental Chaos,None,20,370,18,60,60,,80,80,80,8,-1,4,2,8,-1,8,-1,11,9,15,6,,,,,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned, Unconscious","Acid, Cold, Fire, Lightning, Poison, Thunder",,,150,,12,Primordial,22,"41,000",7,"Earth Glide, Siege Monster",4,2,Melee,15,30,,,25,"Acid, Cold, Fire, Lightning, or Thunder",Ranged,15,150,150,,25,"Acid, Cold, Fire, Lightning, or Thunder",,,,,,,,,,,,,,,23,"Dexterity, Strength","Control Weather, cast control weather, Cataclysmic Event recharges on 4-6: Clinging Flame within 60ft sphere on fail 45 fire damage and burning, Freezing Waves 90ft cone on fail 44 bludgeoning and cold damage prone and speed reduced to 0, Raging Storm 60ft sphere when in blinded and deafened on fail 36 lightning and thunder damage, Swallowing Earth 90ft cube 36 bludgeoning and acid damage prone buried restrained total cover and suffocating",,,,,,,,,,,3,23,Constitution,"Eruption: make another atk, Rumbling Movement: move up to half its speed without opportunity attacks within 5 ft on fail prone",,,,,,,
Elemental Cultist,2024 Monster Manual,Medium or Small,Humanoid (Cultist),Chaotic Evil,Any,Any,," Individual, Relics",16,135,4,30,,,,,,4,2,1,4,3,1,4,2,1,7,6,1,"Arcana, Perception, Religion",,,,,,,,,,17,"Common, Primordial",8,"3,900",3,,,3,Melee,7,5,,,25,"Acid, Cold, Fire, Lightning or Thunder",Ranged,7,120,120,,22,"Acid, Cold, Fire, Lightning or Thunder",,,,,,,,,,,,,,,,,Atk 2 on hit move target 10ft,Wisdom,15,,7,"Elementalism, Mage Hand",,,,,Elemental Absorption takes elemental damage gives itself resistance and 10 temp hp,,,,,,,,,,,
Elephant,2024 Monster Manual,Huge,Beast,Unaligned,Grassland,Grassland,,None,12,76,-1,40,,,,,,6,-4,-1,0,3,-2,6,-4,-1,0,3,-2,,,,,,,,,,,10,None,4,"1,100",2,,,2,Melee,8,5,,,15,Piercing,,,,,,,,,,,,,,,,,,,,,,,,"If charging, gives prone condition",,,,,,,,,,,,,,,,,,,,,
Elk,2024 Monster Manual,Large,Beast,Unaligned,"Grassland, Hill","Grassland, Hill",,None,10,11,0,50,,,,,,3,-4,0,0,0,-2,3,-4,0,0,0,-2,Perception,,,,,,,60,,,12,None,1/4,50,2,,,1,Melee,5,5,,,6,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,"If charging, +3 damage and gives prone condition",,,,,,,,,,,,,,,,,,,,,
Emerald Claw Commander,Eberrron: Forge of the Artificer,Medium or Small,Humanoid,Lawful Evil,None (NPC),None,NPC,None,20,78,2,30,,,,,,4,2,0,1,2,2,4,2,0,3,4,2,"Athletics, Intimidation, Perception",,,,,,,,,,13,"Common, Dwarvish",4,"1,100",2,Aura of Authority,,2,Melee,6,5,,,8,Bludgeoning,Melee,6,5,,,7,Piercing,Ranged,6,30/120,30,120,7,Piercing,,,,,,,,,,When bloodied deals an extra 7 necrotic damage ,,,,,,,,,,,,,,,,,,,,,
Emerald Claw Knight,Eberrron: Forge of the Artificer,Medium or Small,Humanoid,Lawful Evil,None (NPC),None,NPC,None,18,52,0,30,,,,,,3,1,0,0,2,1,3,1,0,2,2,1,"Athletics, Perception",,,,,,,,,,12,"Common, Dwarvish",2,450,2,,,2,Melee,5,5,,,7,Bludgeoning,Melee,5,5,,,6,Piercing,Ranged,5,30/120,30,120,6,Piercing,,,,,,,,,,When bloodied deals an extra 4 necrotic damage ,,,,,,,,,,,,,,,,,,,,,
Empyrean,2024 Monster Manual,Huge,Celestial or Fiend (Titan),Neutral,Any,Any,,Relics,22,346,19,50,,,50,50,50,10,5,5,6,10,8,17,5,5,13,10,8,"Insight, Perception",,,"Bludgeoning, Piercing, Slashing",,"Necrotic, Radiant",,,120,,23,All,23,"50,000",7,Magic Resistance,4,2,Melee,17,10,,,31,Force,Ranged,15,600,600,,35,Necrotic or Radiant,,,,,,,,,,,,,,,,,Akt 1 target is stunned or take 21 more damage,Charisma,23,Charisma,15,"Calm Emotions, Greater Restoration, Pass without Trace, Water Breathing",,,"Commune, Dispel Evil and Good, Plane Shift",,,3,23,Constitution,"Bolster: 10 temp hp and allies get advantage on everything, Shockwave of Glory: 30ft emanation 27 force damage and prone, make another range attack",,,,,,,
Empyrean Iota,2024 Monster Manual,Medium,Celestial or Fiend (Titan),Neutral,Any,Any,,Relics,13,22,2,5,,,30,30,,-5,2,2,3,0,3,-5,2,2,3,0,3,"History, Insight, Perception",,,"Bludgeoning, Piercing, Slashing",Prone,,,,30,,15,All,1,200,2,"Incorporeal, Magic Resistance",,1,Melee,5,5,,,7,Necrotic or Radiant,Ranged,5,30,30,,7,Necrotic or Radiant,,,,,,,,,,,,,,,,,,Wisdom,,,,,,,"Bless, Healing Word, Lesser Restoration (as an action)",Cast Healing Word,,,,,,,,,,,,
Erinyes,2024 Monster Manual,Medium,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Armaments,18,178,7,30,,,60,,,4,2,3,2,4,4,4,2,7,2,8,8,"Perception, Persuasion",,,Cold,Poisoned,"Fire, Poison",,,120,,16,"Infernal, Telepathy",12,"8,400",4,"Demonic Restoration, Magic Resistance, Magic Rope",,4,Melee,8,5,,,24,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,,,,16,Strength,Entangling Rope Within 120ft on fail a target 14 force damage and restrained,,,,,,,,,Release target from entangling rope,When hit +4 to AC,,,,,,,,,,,
Ettercap,2024 Monster Manual,Medium,Monstrosity,Neutral Evil,Forest,Forest,,Implements,13,44,2,30,,30,,,,2,-2,2,1,1,-1,2,-2,2,1,1,-1,"Perception, Stealth, Survival",,,,,,,60,,,13,None,2,450,2,"Spider Climb, Web Walker",,2,Melee,4,5,,,7,"Piercing, Poison",Melee,4,5,,,7,Slashing,,,,,,,,,,,,,,,12,Dexterity,"Atk 1 on hit poisoned, Web Strand recharges on 5-6 a target within 30ft on fail restrained",,,,,,,,,Reel pulls a creature within 30ft and restrained 25ft,,,,,,,,,,,,
Ettin,2024 Monster Manual,Large,Giant,Chaotic Evil,"Hill, Mountain, Underdark","Hill, Mountain, Underdark",,Individual,12,85,-1,40,,,,,,5,-2,-1,0,3,-1,5,-2,-1,0,3,-1,,Perception,,,"Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious",,,60,,,14,Giant,4,"1,100",2,,,2,Melee,7,5,,,14,Slashing,Melee,7,5,,,14,Piercing,,,,,,,,,,,,,,,,,"Atk 1 on hit prone, Atk 2 target has disadvantage on the next attack roll",,,,,,,,,,,,,,,,,,,,,
Faerie Dragon Adult,2024 Monster Manual,Tiny,Dragon,Chaotic Good,Forest,Forest,,Implements,15,35,5,10,,,60,,,-4,2,5,1,1,3,-4,2,5,1,1,3,"Arcana, Perception, Stealth",,,,,,,60,,,13,"Draconic, Sylvan, Telepathy",2,450,2,Magic Resistance,,1,Melee,7,5,,,10,"Piercing, Psychic",,,,,,,,,,,,,,,,,,,,,,13,Wisdom,Euphoria Breath recharge on 5-6 15ft coone and incapacitated and moves in random directions,Charisma,13,Wisdom,5,"Dancing Lights, Mage Hand, Minor Illusion",,,"Hallucinatory Terrain, Polymorph",Cast Greater Invisibility,,,,,,,,,,,,
Faerie Dragon Youth,2024 Monster Manual,Tiny,Dragon,Chaotic Good,Forest,Forest,,Implements,13,21,3,10,,,60,,,-4,1,3,1,1,2,-4,1,3,1,1,2,"Arcana, Perception, Stealth",,,,,,,60,,,13,"Draconic, Sylvan, Telepathy",1,200,2,,,1,Melee,5,5,,,7,"Piercing, Psychic",,,,,,,,,,,,,,,,,,,,,,12,Wisdom,Euphoria Breath recharge on 5-6 15ft coone and incapacitated and moves in random directions,Charisma,12,,4,"Dancing Lights, Mage Hand, Minor Illusion",,,,,,,,,,,,,,,,
Fiend Cultist,2024 Monster Manual,Medium or Small,Humanoid (Cultist),Neutral Evil,Any,Any,," Individual, Relics",16,127,5,30,,,,,,4,1,2,4,3,0,4,1,2,7,6,0,"Perception, Religion",,,,,,,90,,,17,"Abyssal, Common, Infernal",8,"3,900",3,,,3,Melee,7,5,,,23,"Slashing, Fire",,,,,,,,,,,,,,,,,,,,,,,,,Wisdom,15,Dexterity,7,"Hellish Rebuke, Scorching Ray (level 5), Thaumaturgy",,Fireball (level 6),,,Hellish Rebuke cast hellish rebuke,,,,,,,,,,,
Fiendish Icon, Astarion's Book of Hungers,Small,Construct,Lawful Evil,Urban,Urban,,None,13,22,1,30,,,,,,2,-2,1,0,1,-2,2,-2,1,0,1,-2,Stealth,,,"Fire, Poison","Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",,,60,,,10,"Understnad Common, Infernal",1,200,2,Magic Resistance,,2,Melee,4,5,,,4,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,11,Dexterity,Fiery Eruption creatures within 5ft on fail 7 fire damage,,,,,,,,,,,,,,,,,,,,,
Fire Elemental,2024 Monster Manual,Large,Elemental,Neutral,"Desert, Planar (Elemental Plane of FIre)","Desert, Planar",Elemental Plane of FIre,None,13,93,3,50,,,,,,0,-2,3,0,3,-2,0,-2,3,0,3,-2,,,,"Bludgeoning, Piercing, Slashing","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious","FIre, Poison",,60,,,10,Primordial (Ignan),5,"1,800",3,"Fire Aura, Fire Form, Illumination, Water Susceptibility",,2,Melee,6,5,,,10,Fire,,,,,,,,,,,,,,,,,,,,,,,,On hit starts burning,,,,,,,,,,,,,,,,,,,,,
Fire Giant,2024 Monster Manual,Huge,Giant,Lawful Evil,"Mountain, Underdark","Mountain, Underdark",,Armaments,18,162,3,30,,,,,,7,0,-1,2,6,1,7,0,3,2,10,5,"Athletics, Perception",,,,,Fire,,,,,16,Giant,9,"5,000",4,,,2,Melee,11,10,,,31,"Slashing, Fire",Ranged,11,60/240,60,240,27,"Bludgeoning, Fire",,,,,,,,,,,,,,,,,Atk 2 on hit pushed 15ft and has disadvantage,,,,,,,,,,,,,,,,,,,,,
Flameskull,2024 Monster Manual,Tiny,Undead,Neutral Evil,Underdark,Underdark,,Arcana,13,40,3,5,,,40,40,,-5,3,3,0,2,0,-5,3,3,0,2,0,"Arcana, Perception",,,,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned, Prone","Fire, Necrotic, Poison",,60,,,12,"Common, 2 other languages",4,"1,100",2,"Illumination, Magic Resistance, Undead Restoration",,2,Melee,5,5,,,13,Fire,Ranged,5,60,60,,13,Fire,,,,,,,,,,,,,,,,,,Intelligence,13,Dexterity,5,Mage Hand,,Magic Missile (level 2),Fireball,,,,,,,,,,,,,
Flaming Skeleton,2024 Monster Manual,Medium,Undead,Lawful Evil,"Planar (Shadowfell), Underdark, Urban","Planar, Underdark, Urban",Shadowfell,None,15,65,2,30,,,,,,0,0,2,2,2,-1,0,0,2,2,2,-1,,,Bludgeoning,,"Exhaustion, Poisoned","Fire, Poison",,60,,,12,"Understands Common, Another language",3,700,2,"Death Burst, Illumination",,2,Melee,4,5,,,8,Bludgeoning,Ranged,4,60,60,,7,Fire,,,,,,,,,,,,,,,12,Dexterity,,,,,,,,,,,,,,,,,,,,,,
Flesh Golem,2024 Monster Manual,Medium,Construct,Neutral,Any,Any,,Arcana,9,127,-1,30,,,,,,4,-2,-1,0,4,-3,4,-2,-1,0,4,-3,,,,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned","Lightning, Poison",,60,,,10,"Understands Common, Another language",5,"1,800",3,"Aversion to Fire, Berserk, Immutable Form, Lightning Absorption, Magic Resistance",,2,Melee,7,5,,,17,"Bludgeoning, Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
